Name, ID, Pleiades Number
PatiÅros,urn:cite:rage:ptolgeo.pt-ll-1625,X
Assorus,urn:cite:rage:ptolgeo.pt-ll-1626,462106
Enna, urn:cite:rage:ptolgeo.pt-ll-1627, 462236
Megara Hyblaia,urn:cite:rage:ptolgeo.pt-ll-1628,462307
Petra,urn:cite:rage:ptolgeo.pt-ll-1629,X
Hybla Heraia,urn:cite:rage:ptolgeo.pt-ll-1630, 462252
Engyon,urn:cite:rage:ptolgeo.pt-ll-1631, 462195
Kortyga,urn:cite:rage:ptolgeo.pt-ll-1632,465932
Makuron,urn:cite:rage:ptolgeo.pt-ll-1633,X
Acrae,urn:cite:rage:ptolgeo.pt-ll-1634, 462068
Macella,urn:cite:rage:ptolgeo.pt-ll-1635, 465948
